"month","dept_code","account_category","account_category_sub","amount_type","amount"
"2025-08-01","HP","COGS","COGS","Actual","313977.00"
"2025-08-01","HP","COGS","COGS","Budget","333644.00"
"2025-08-01","HP","OpEX","Administrative expense","Actual","2435.00"
"2025-08-01","HP","OpEX","Administrative expense","Budget","1484.00"
"2025-08-01","HP","OpEX","Freight expense","Actual","4535.00"
"2025-08-01","HP","OpEX","Freight expense","Budget","2764.00"
"2025-08-01","HP","OpEX","Marketing expense","Actual","6160.00"
"2025-08-01","HP","OpEX","Marketing expense","Budget","3754.00"
"2025-08-01","HP","OpEX","Personnel Expense","Actual","113298.00"
"2025-08-01","HP","OpEX","Personnel Expense","Budget","106600.00"
"2025-08-01","HP","OpEX","R&D","Actual","1374.00"
"2025-08-01","HP","OpEX","R&D","Budget","838.00"
"2025-08-01","HP","Revenue","Revenue","Actual","454686.00"
"2025-08-01","HP","Revenue","Revenue","Budget","454651.00"
"2025-08-01","HW","COGS","COGS","Actual","547981.00"
"2025-08-01","HW","COGS","COGS","Budget","435352.00"
"2025-08-01","HW","OpEX","Administrative expense","Actual","13747.00"
"2025-08-01","HW","OpEX","Administrative expense","Budget","12420.00"
"2025-08-01","HW","OpEX","Freight expense","Actual","25463.00"
"2025-08-01","HW","OpEX","Freight expense","Budget","23005.00"
"2025-08-01","HW","OpEX","Marketing expense","Actual","32842.00"
"2025-08-01","HW","OpEX","Marketing expense","Budget","29672.00"
"2025-08-01","HW","OpEX","Personnel Expense","Actual","91070.00"
"2025-08-01","HW","OpEX","Personnel Expense","Budget","103000.00"
"2025-08-01","HW","OpEX","R&D","Actual","7882.00"
"2025-08-01","HW","OpEX","R&D","Budget","7121.00"
"2025-08-01","HW","Revenue","Revenue","Actual","851508.00"
"2025-08-01","HW","Revenue","Revenue","Budget","682169.00"
"2025-09-01","BT","COGS","COGS","Actual","979303.00"
"2025-09-01","BT","COGS","COGS","Budget","719997.00"
"2025-09-01","BT","OpEX","Administrative expense","Actual","3288.00"
"2025-09-01","BT","OpEX","Administrative expense","Budget","3298.00"
"2025-09-01","BT","OpEX","Freight expense","Actual","45088.00"
"2025-09-01","BT","OpEX","Freight expense","Budget","45232.00"
"2025-09-01","BT","OpEX","Marketing expense","Actual","55496.00"
"2025-09-01","BT","OpEX","Marketing expense","Budget","55673.00"
"2025-09-01","BT","OpEX","Personnel Expense","Actual","215065.00"
"2025-09-01","BT","OpEX","Personnel Expense","Budget","264500.00"
"2025-09-01","BT","Revenue","Revenue","Actual","1689327.00"
"2025-09-01","BT","Revenue","Revenue","Budget","1173411.00"
"2025-09-01","FB","COGS","COGS","Actual","208882.00"
"2025-09-01","FB","COGS","COGS","Budget","176313.00"
"2025-09-01","FB","OpEX","Administrative expense","Actual","5544.00"
"2025-09-01","FB","OpEX","Administrative expense","Budget","5426.00"
"2025-09-01","FB","OpEX","Freight expense","Actual","10295.00"
"2025-09-01","FB","OpEX","Freight expense","Budget","10076.00"
"2025-09-01","FB","OpEX","Marketing expense","Actual","8975.00"
"2025-09-01","FB","OpEX","Marketing expense","Budget","8783.00"
"2025-09-01","FB","OpEX","Personnel Expense","Actual","15993.00"
"2025-09-01","FB","OpEX","Personnel Expense","Budget","16550.00"
"2025-09-01","FB","OpEX","R&D","Actual","1230.00"
"2025-09-01","FB","OpEX","R&D","Budget","1204.00"
"2025-09-01","FB","Revenue","Revenue","Actual","286328.00"
"2025-09-01","FB","Revenue","Revenue","Budget","224511.00"
"2025-09-01","GA","OpEX","Administrative expense","Actual","86914.00"
"2025-09-01","GA","OpEX","Administrative expense","Budget","87950.00"
"2025-09-01","GA","OpEX","Personnel Expense","Actual","133147.00"
"2025-09-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-09-01","HP","COGS","COGS","Actual","337680.00"
"2025-09-01","HP","COGS","COGS","Budget","356766.00"
"2025-09-01","HP","OpEX","Administrative expense","Actual","2444.00"
"2025-09-01","HP","OpEX","Administrative expense","Budget","1619.00"
"2025-09-01","HP","OpEX","Freight expense","Actual","4387.00"
"2025-09-01","HP","OpEX","Freight expense","Budget","2906.00"
"2025-09-01","HP","OpEX","Marketing expense","Actual","6175.00"
"2025-09-01","HP","OpEX","Marketing expense","Budget","4091.00"
"2025-09-01","HP","OpEX","Personnel Expense","Actual","113464.00"
"2025-09-01","HP","OpEX","Personnel Expense","Budget","106600.00"
"2025-09-01","HP","OpEX","R&D","Actual","1406.00"
"2025-09-01","HP","OpEX","R&D","Budget","931.00"
"2025-09-01","HP","Revenue","Revenue","Actual","487130.00"
"2025-09-01","HP","Revenue","Revenue","Budget","488438.00"
"2025-09-01","HW","COGS","COGS","Actual","568673.00"
"2025-09-01","HW","COGS","COGS","Budget","453686.00"
"2025-09-01","HW","OpEX","Administrative expense","Actual","14091.00"
"2025-09-01","HW","OpEX","Administrative expense","Budget","14040.00"
"2025-09-01","HW","OpEX","Freight expense","Actual","24950.00"
"2025-09-01","HW","OpEX","Freight expense","Budget","24860.00"
"2025-09-01","HW","OpEX","Marketing expense","Actual","34160.00"
"2025-09-01","HW","OpEX","Marketing expense","Budget","34037.00"
"2025-09-01","HW","OpEX","Personnel Expense","Actual","89993.00"
"2025-09-01","HW","OpEX","Personnel Expense","Budget","103000.00"
"2025-09-01","HW","OpEX","R&D","Actual","8218.00"
"2025-09-01","HW","OpEX","R&D","Budget","8188.00"
"2025-09-01","HW","Revenue","Revenue","Actual","923740.00"
"2025-09-01","HW","Revenue","Revenue","Budget","726064.00"
"2025-10-01","BT","COGS","COGS","Actual","663159.00"
"2025-10-01","BT","COGS","COGS","Budget","692264.00"
"2025-10-01","BT","OpEX","Administrative expense","Actual","3525.00"
"2025-10-01","BT","OpEX","Administrative expense","Budget","2982.00"
"2025-10-01","BT","OpEX","Freight expense","Actual","46138.00"
"2025-10-01","BT","OpEX","Freight expense","Budget","39034.00"
"2025-10-01","BT","OpEX","Marketing expense","Actual","57715.00"
"2025-10-01","BT","OpEX","Marketing expense","Budget","48828.00"
"2025-10-01","BT","OpEX","Personnel Expense","Actual","234601.00"
"2025-10-01","BT","OpEX","Personnel Expense","Budget","264500.00"
"2025-10-01","BT","Revenue","Revenue","Actual","1181260.00"
"2025-10-01","BT","Revenue","Revenue","Budget","1116908.00"
"2025-10-01","FB","COGS","COGS","Actual","217878.00"
"2025-10-01","FB","COGS","COGS","Budget","188617.00"
"2025-10-01","FB","OpEX","Administrative expense","Actual","5432.00"
"2025-10-01","FB","OpEX","Administrative expense","Budget","3784.00"
"2025-10-01","FB","OpEX","Freight expense","Actual","9890.00"
"2025-10-01","FB","OpEX","Freight expense","Budget","6890.00"
"2025-10-01","FB","OpEX","Marketing expense","Actual","8862.00"
"2025-10-01","FB","OpEX","Marketing expense","Budget","6173.00"
"2025-10-01","FB","OpEX","Personnel Expense","Actual","16105.00"
"2025-10-01","FB","OpEX","Personnel Expense","Budget","16550.00"
"2025-10-01","FB","OpEX","R&D","Actual","1315.00"
"2025-10-01","FB","OpEX","R&D","Budget","916.00"
"2025-10-01","FB","Revenue","Revenue","Actual","283132.00"
"2025-10-01","FB","Revenue","Revenue","Budget","232864.00"
"2025-10-01","GA","OpEX","Administrative expense","Actual","84294.00"
"2025-10-01","GA","OpEX","Administrative expense","Budget","87950.00"
"2025-10-01","GA","OpEX","Personnel Expense","Actual","139637.00"
"2025-10-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-10-01","HP","COGS","COGS","Actual","386996.00"
"2025-10-01","HP","COGS","COGS","Budget","419463.00"
"2025-10-01","HP","OpEX","Administrative expense","Actual","2573.00"
"2025-10-01","HP","OpEX","Administrative expense","Budget","2043.00"
"2025-10-01","HP","OpEX","Freight expense","Actual","4533.00"
"2025-10-01","HP","OpEX","Freight expense","Budget","3600.00"
"2025-10-01","HP","OpEX","Marketing expense","Actual","6187.00"
"2025-10-01","HP","OpEX","Marketing expense","Budget","4913.00"
"2025-10-01","HP","OpEX","Personnel Expense","Actual","114526.00"
"2025-10-01","HP","OpEX","Personnel Expense","Budget","106600.00"
"2025-10-01","HP","OpEX","R&D","Actual","1385.00"
"2025-10-01","HP","OpEX","R&D","Budget","1100.00"
"2025-10-01","HP","Revenue","Revenue","Actual","560717.00"
"2025-10-01","HP","Revenue","Revenue","Budget","571388.00"
"2025-10-01","HW","COGS","COGS","Actual","446675.00"
"2025-10-01","HW","COGS","COGS","Budget","439602.00"
"2025-10-01","HW","OpEX","Administrative expense","Actual","13271.00"
"2025-10-01","HW","OpEX","Administrative expense","Budget","11173.00"
"2025-10-01","HW","OpEX","Freight expense","Actual","24645.00"
"2025-10-01","HW","OpEX","Freight expense","Budget","20749.00"
"2025-10-01","HW","OpEX","Marketing expense","Actual","34663.00"
"2025-10-01","HW","OpEX","Marketing expense","Budget","29182.00"
"2025-10-01","HW","OpEX","Personnel Expense","Actual","98195.00"
"2025-10-01","HW","OpEX","Personnel Expense","Budget","103000.00"
"2025-10-01","HW","OpEX","R&D","Actual","7840.00"
"2025-10-01","HW","OpEX","R&D","Budget","6600.00"
"2025-10-01","HW","Revenue","Revenue","Actual","705902.00"
"2025-10-01","HW","Revenue","Revenue","Budget","698203.00"
"2025-11-01","BT","COGS","COGS","Actual","1464043.00"
"2025-11-01","BT","COGS","COGS","Budget","1375259.00"
"2025-11-01","BT","OpEX","Administrative expense","Actual","6940.00"
"2025-11-01","BT","OpEX","Administrative expense","Budget","13822.00"
"2025-11-01","BT","OpEX","Freight expense","Actual","52583.00"
"2025-11-01","BT","OpEX","Freight expense","Budget","104726.00"
"2025-11-01","BT","OpEX","Marketing expense","Actual","64444.00"
"2025-11-01","BT","OpEX","Marketing expense","Budget","128349.00"
"2025-11-01","BT","OpEX","Personnel Expense","Actual","212618.00"
"2025-11-01","BT","OpEX","Personnel Expense","Budget","264500.00"
"2025-11-01","BT","Revenue","Revenue","Actual","2566245.00"
"2025-11-01","BT","Revenue","Revenue","Budget","2395242.00"
"2025-11-01","FB","COGS","COGS","Actual","289309.00"
"2025-11-01","FB","COGS","COGS","Budget","244378.00"
"2025-11-01","FB","OpEX","Administrative expense","Actual","8947.00"
"2025-11-01","FB","OpEX","Administrative expense","Budget","5864.00"
"2025-11-01","FB","OpEX","Freight expense","Actual","16318.00"
"2025-11-01","FB","OpEX","Freight expense","Budget","10695.00"
"2025-11-01","FB","OpEX","Marketing expense","Actual","20088.00"
"2025-11-01","FB","OpEX","Marketing expense","Budget","13166.00"
"2025-11-01","FB","OpEX","Personnel Expense","Actual","16518.00"
"2025-11-01","FB","OpEX","Personnel Expense","Budget","16550.00"
"2025-11-01","FB","OpEX","R&D","Actual","1294.00"
"2025-11-01","FB","OpEX","R&D","Budget","848.00"
"2025-11-01","FB","Revenue","Revenue","Actual","390903.00"
"2025-11-01","FB","Revenue","Revenue","Budget","303568.00"
"2025-11-01","GA","OpEX","Administrative expense","Actual","87239.00"
"2025-11-01","GA","OpEX","Administrative expense","Budget","87950.00"
"2025-11-01","GA","OpEX","Personnel Expense","Actual","143761.00"
"2025-11-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-11-01","HP","COGS","COGS","Actual","577788.00"
"2025-11-01","HP","COGS","COGS","Budget","633050.00"
"2025-11-01","HP","OpEX","Administrative expense","Actual","3919.00"
"2025-11-01","HP","OpEX","Administrative expense","Budget","4493.00"
"2025-11-01","HP","OpEX","Freight expense","Actual","7837.00"
"2025-11-01","HP","OpEX","Freight expense","Budget","8985.00"
"2025-11-01","HP","OpEX","Marketing expense","Actual","9136.00"
"2025-11-01","HP","OpEX","Marketing expense","Budget","10475.00"
"2025-11-01","HP","OpEX","Personnel Expense","Actual","115610.00"
"2025-11-01","HP","OpEX","Personnel Expense","Budget","106600.00"
"2025-11-01","HP","OpEX","R&D","Actual","1405.00"
"2025-11-01","HP","OpEX","R&D","Budget","1611.00"
"2025-11-01","HP","Revenue","Revenue","Actual","869451.00"
"2025-11-01","HP","Revenue","Revenue","Budget","870906.00"
"2025-11-01","HW","COGS","COGS","Actual","884339.00"
"2025-11-01","HW","COGS","COGS","Budget","722106.00"
"2025-11-01","HW","OpEX","Administrative expense","Actual","15764.00"
"2025-11-01","HW","OpEX","Administrative expense","Budget","19966.00"
"2025-11-01","HW","OpEX","Freight expense","Actual","28532.00"
"2025-11-01","HW","OpEX","Freight expense","Budget","36138.00"
"2025-11-01","HW","OpEX","Marketing expense","Actual","38454.00"
"2025-11-01","HW","OpEX","Marketing expense","Budget","48705.00"
"2025-11-01","HW","OpEX","Personnel Expense","Actual","93822.00"
"2025-11-01","HW","OpEX","Personnel Expense","Budget","103000.00"
"2025-11-01","HW","OpEX","R&D","Actual","8296.00"
"2025-11-01","HW","OpEX","R&D","Budget","10507.00"
"2025-11-01","HW","Revenue","Revenue","Actual","1408151.00"
"2025-11-01","HW","Revenue","Revenue","Budget","1145221.00"
"2025-12-01","BT","COGS","COGS","Actual","1429249.00"
"2025-12-01","BT","COGS","COGS","Budget","1153321.00"
"2025-12-01","BT","OpEX","Administrative expense","Actual","6241.00"
"2025-12-01","BT","OpEX","Administrative expense","Budget","10294.00"
"2025-12-01","BT","OpEX","Freight expense","Actual","51750.00"
"2025-12-01","BT","OpEX","Freight expense","Budget","85357.00"
"2025-12-01","BT","OpEX","Marketing expense","Actual","64626.00"
"2025-12-01","BT","OpEX","Marketing expense","Budget","106595.00"
"2025-12-01","BT","OpEX","Personnel Expense","Actual","233843.00"
"2025-12-01","BT","OpEX","Personnel Expense","Budget","264500.00"
"2025-12-01","BT","Revenue","Revenue","Actual","2485219.00"
"2025-12-01","BT","Revenue","Revenue","Budget","1958466.00"
"2025-12-01","FB","COGS","COGS","Actual","292514.00"
"2025-12-01","FB","COGS","COGS","Budget","224177.00"
"2025-12-01","FB","OpEX","Administrative expense","Actual","9053.00"
"2025-12-01","FB","OpEX","Administrative expense","Budget","7510.00"
"2025-12-01","FB","OpEX","Freight expense","Actual","16485.00"
"2025-12-01","FB","OpEX","Freight expense","Budget","13675.00"
"2025-12-01","FB","OpEX","Marketing expense","Actual","20240.00"
"2025-12-01","FB","OpEX","Marketing expense","Budget","16789.00"
"2025-12-01","FB","OpEX","Personnel Expense","Actual","16279.00"
"2025-12-01","FB","OpEX","Personnel Expense","Budget","16550.00"
"2025-12-01","FB","OpEX","R&D","Actual","1241.00"
"2025-12-01","FB","OpEX","R&D","Budget","1029.00"
"2025-12-01","FB","Revenue","Revenue","Actual","400194.00"
"2025-12-01","FB","Revenue","Revenue","Budget","290108.00"
"2025-12-01","GA","OpEX","Administrative expense","Actual","82966.00"
"2025-12-01","GA","OpEX","Administrative expense","Budget","87950.00"
"2025-12-01","GA","OpEX","Personnel Expense","Actual","138801.00"
"2025-12-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-12-01","HP","COGS","COGS","Actual","593592.00"
"2025-12-01","HP","COGS","COGS","Budget","610038.00"
"2025-12-01","HP","OpEX","Administrative expense","Actual","3741.00"
"2025-12-01","HP","OpEX","Administrative expense","Budget","4174.00"
"2025-12-01","HP","OpEX","Freight expense","Actual","7087.00"
"2025-12-01","HP","OpEX","Freight expense","Budget","7907.00"
"2025-12-01","HP","OpEX","Marketing expense","Actual","9057.00"
"2025-12-01","HP","OpEX","Marketing expense","Budget","10105.00"
"2025-12-01","HP","OpEX","Personnel Expense","Actual","114074.00"
"2025-12-01","HP","OpEX","Personnel Expense","Budget","106600.00"
"2025-12-01","HP","OpEX","R&D","Actual","1423.00"
"2025-12-01","HP","OpEX","R&D","Budget","1588.00"
"2025-12-01","HP","Revenue","Revenue","Actual","850292.00"
"2025-12-01","HP","Revenue","Revenue","Budget","836193.00"
"2025-12-01","HW","COGS","COGS","Actual","839872.00"
"2025-12-01","HW","COGS","COGS","Budget","742228.00"
"2025-12-01","HW","OpEX","Administrative expense","Actual","15449.00"
"2025-12-01","HW","OpEX","Administrative expense","Budget","19628.00"
"2025-12-01","HW","OpEX","Freight expense","Actual","28613.00"
"2025-12-01","HW","OpEX","Freight expense","Budget","36353.00"
"2025-12-01","HW","OpEX","Marketing expense","Actual","37475.00"
"2025-12-01","HW","OpEX","Marketing expense","Budget","47613.00"
"2025-12-01","HW","OpEX","Personnel Expense","Actual","94146.00"
"2025-12-01","HW","OpEX","Personnel Expense","Budget","103000.00"
"2025-12-01","HW","OpEX","R&D","Actual","8024.00"
"2025-12-01","HW","OpEX","R&D","Budget","10195.00"
"2025-12-01","HW","Revenue","Revenue","Actual","1333646.00"
"2025-12-01","HW","Revenue","Revenue","Budget","1169227.00"
